"Product/ID,""product_id"",""location_id"",""qty"""
"__export__.product_product_90663_ff9bb6e2,""90663"","""",""23.0"""
"__export__.product_product_90684_4cb5b19d,""90684"","""",""124.0"""
"__export__.product_product_90668_86ded7a2,""90668"","""",""38.0"""
"__export__.product_product_90669_ae77faaa,""90669"","""",""28.0"""
"__export__.product_product_144614_8f1f06ea,""144614"","""",""36.0"""
"__export__.product_product_144610_abddf27f,""144610"","""",""49.0"""
"__export__.product_product_144706_ac8b1163,""144706"","""",""0.0"""
"__export__.product_product_144768_37a057a4,""144768"","""",""0.0"""
"__export__.product_product_144766_b7e3664f,""144766"","""",""35.0"""
"__export__.product_product_144771_b2a5b4c0,""144771"","""",""79.0"""
"__export__.product_product_144772_8b686cf3,""144772"","""",""1.0"""
"__export__.product_product_144774_0e323b5a,""144774"","""",""73.0"""
"__export__.product_product_144574_4529a0b5,""144574"","""",""19.0"""
"__export__.product_product_144592_44e02d57,""144592"","""",""10.0"""
"__export__.product_product_144591_99824a14,""144591"","""",""8.0"""
"__export__.product_product_144595_d2508299,""144595"","""",""0.0"""
"__export__.product_product_144568_bfdcd054,""144568"","""",""0.0"""
"__export__.product_product_151309_adfccd83,""151309"","""",""22.0"""
"__export__.product_product_144834_afbc9552,""144834"","""",""80.0"""
"__export__.product_product_144836_3c1f610c,""144836"","""",""78.0"""
"__export__.product_product_144833_bb831013,""144833"","""",""42.0"""
"__export__.product_product_32125_14e14c23,""32125"","""",""3.0"""
"__export__.product_product_144597_75649d22,""144597"","""",""39.0"""
"__export__.product_product_144596_18fcc0de,""144596"","""",""30.0"""
"__export__.product_product_144598_1df926b4,""144598"","""",""26.0"""
"__export__.product_product_144600_ba57a56c,""144600"","""",""36.0"""
"__export__.product_product_144601_98625136,""144601"","""",""20.0"""
"__export__.product_product_144599_ece6e4c5,""144599"","""",""36.0"""
"__export__.product_product_144606_286dcb1b,""144606"","""",""6.0"""
"__export__.product_product_144604_2642a8c6,""144604"","""",""9.0"""
"__export__.product_product_144605_815d0921,""144605"","""",""5.0"""
"__export__.product_product_144603_f03d8553,""144603"","""",""9.0"""
"__export__.product_product_144582_065a2182,""144582"","""",""29.0"""
"__export__.product_product_144577_7ce08d44,""144577"","""",""0.0"""
"__export__.product_product_144680_4a706c83,""144680"","""",""3.0"""
"__export__.product_product_144689_016d55ff,""144689"","""",""40.0"""
"__export__.product_product_144688_f553859f,""144688"","""",""46.0"""
"__export__.product_product_144686_93a693ed,""144686"","""",""9.0"""
"__export__.product_product_144694_a71061b2,""144694"","""",""43.0"""
"__export__.product_product_144691_c8114c74,""144691"","""",""0.0"""
"__export__.product_product_152088_306ce5af,""152088"","""",""12.0"""
"__export__.product_product_90666_00249ba2,""90666"","""",""0.0"""
"__export__.product_product_195124_9d90f856,""195124"","""",""0.0"""
"__export__.product_product_144710_211a6748,""144710"","""",""221.0"""
"__export__.product_product_110281_651d181d,""110281"","""",""0.0"""
"__export__.product_product_90677_533c0281,""90677"","""",""562.0"""
"__export__.product_product_110282_24682fdd,""110282"","""",""2.0"""
"__export__.product_product_90673_9458088c,""90673"","""",""650.0"""
"__export__.product_product_90676_eb599664,""90676"","""",""93.0"""
"__export__.product_product_110279_8fbec4ac,""110279"","""",""0.0"""
"__export__.product_product_90664_f3027196,""90664"","""",""252.0"""
"__export__.product_product_90665_e636444f,""90665"","""",""10.0"""
"__export__.product_product_90667_0b94e4ea,""90667"","""",""80.0"""
"__export__.product_product_90681_869afd56,""90681"","""",""81.0"""
"__export__.product_product_90680_5a1f9dd7,""90680"","""",""25.0"""
